#HEADER,,,,,
200,,,,,
Version,2.0.11,1.04,,,
Filename,S01-239.TXT,,,,
MethodName,Ar40-36 H3-L1-L5 2s Integ 200cycles total 400s.NGXAM,,,,
MethodPath,C:\IsoLinx\Projects\400s.Pro\Methods,,,,
FolderPath,C:\IsoLinx\Projects\400s.Pro\Analysis\@Default\S01.RAW,,,,
Corrected,RAW,,,,
BChannels,Yes,,,,
TimeZero, 29 December 2023 15:41:15,,,,

#COLLECTORS,,,,,
Name,Type,Resistor,Gain,Efficiency,DT
L5,F,1.00E+11,1.0024421,1,0
L4,EM,1.00E+11,1,1,0
L3,F,1.00E+11,0.9972084,1,0
L2,EM,1.00E+11,1,1,0,,,,,,,,,,,,,,,,,,
L1,F,1.00E+11,1.0010384,1,0,,,,,,,,,,,,,,,,,,
Ax,EM,1.00E+11,1,1,0,,,,,,,,,,,,,,,,,,
H1,F,1.00E+11,1,1,0,,,,,,,,,,,,,,,,,,
H2,F,1.00E+11,1.0036106,1,0,,,,,,,,,,,,,,,,,,
H3,F,1.00E+11,0.994901,1,0,,,,,,,,,,,,,,,,,,
H4,F,1.00E+11,1.0056363,1,0,,,,,,,,,,,,,,,,,,

#BASELINES,,,,,,,,,,,,,,,,,,,,,,,
ID,Block,Cycle,Integ,PeakID,AxMass,Time,L5,L4,L3,L2,L1,Ax,H1,H2,H3,H4,L5.B,L3.B,L1.B,H1.B,H2.B,H3.B,H4.B

#ONPEAK,,,,,,,,,,,,,,,,,,,,,,,
ID,Block,Cycle,Integ,PeakID,AxMass,Time,L5,L4,L3,L2,L1,Ax,H1,H2,H3,H4,L5.B,L3.B,L1.B,H1.B,H2.B,H3.B,H4.B
OP1,1,1,1, Ar40,38.55,2.3495224,1.81E-02,0.00E+00,-3.30E-06,5.00E-01,3.51E-03,5.00E-01,-1.96E-06,4.08E-06,5.54E+00,2.51E-05,1.81E-02,-3.30E-06,3.51E-03,-1.96E-06,4.08E-06,5.54E+00,2.51E-05
OP1,1,2,1, Ar40,38.55,4.3599989,1.81E-02,0.00E+00,-4.15E-07,0.00E+00,3.50E-03,0.00E+00,-6.54E-06,-2.58E-06,5.54E+00,2.67E-05,1.81E-02,-4.15E-07,3.50E-03,-6.54E-06,-2.58E-06,5.54E+00,2.67E-05
OP1,1,3,1, Ar40,38.55,6.3699989,1.81E-02,0.00E+00,-5.01E-06,0.00E+00,3.48E-03,5.00E-01,3.90E-06,6.67E-06,5.53E+00,3.30E-05,1.81E-02,-5.01E-06,3.48E-03,3.90E-06,6.67E-06,5.53E+00,3.30E-05
OP1,1,4,1, Ar40,38.55,8.3809696,1.81E-02,0.00E+00,1.92E-06,0.00E+00,3.48E-03,0.00E+00,-1.88E-06,7.29E-06,5.52E+00,2.57E-05,1.81E-02,1.92E-06,3.48E-03,-1.88E-06,7.29E-06,5.52E+00,2.57E-05
OP1,1,5,1, Ar40,38.55,10.3915148,1.80E-02,0.00E+00,2.83E-06,0.00E+00,3.49E-03,5.00E-01,2.77E-06,-1.72E-06,5.52E+00,2.83E-05,1.80E-02,2.83E-06,3.49E-03,2.77E-06,-1.72E-06,5.52E+00,2.83E-05
OP1,1,6,1, Ar40,38.55,12.402208,1.80E-02,0.00E+00,-2.39E-06,0.00E+00,3.46E-03,5.00E-01,1.10E-06,5.53E-06,5.51E+00,2.47E-05,1.80E-02,-2.39E-06,3.46E-03,1.10E-06,5.53E-06,5.51E+00,2.47E-05
OP1,1,7,1, Ar40,38.55,14.4133112,1.80E-02,0.00E+00,3.64E-06,0.00E+00,3.47E-03,0.00E+00,-3.02E-06,-2.79E-06,5.51E+00,3.11E-05,1.80E-02,3.64E-06,3.47E-03,-3.02E-06,-2.79E-06,5.51E+00,3.11E-05
OP1,1,8,1, Ar40,38.55,16.4233112,1.80E-02,0.00E+00,-2.98E-06,0.00E+00,3.47E-03,0.00E+00,-9.26E-06,1.60E-06,5.50E+00,2.41E-05,1.80E-02,-2.98E-06,3.47E-03,-9.26E-06,1.60E-06,5.50E+00,2.41E-05
OP1,1,9,1, Ar40,38.55,18.4340428,1.79E-02,0.00E+00,1.22E-05,0.00E+00,3.47E-03,0.00E+00,-9.68E-06,1.92E-06,5.49E+00,2.80E-05,1.79E-02,1.22E-05,3.47E-03,-9.68E-06,1.92E-06,5.49E+00,2.80E-05
OP1,1,10,1, Ar40,38.55,20.4452239,1.80E-02,0.00E+00,-1.92E-06,0.00E+00,3.46E-03,0.00E+00,2.90E-06,-1.36E-06,5.49E+00,2.84E-05,1.80E-02,-1.92E-06,3.46E-03,2.90E-06,-1.36E-06,5.49E+00,2.84E-05
OP1,1,11,1, Ar40,38.55,22.4558725,1.79E-02,0.00E+00,-3.57E-06,0.00E+00,3.46E-03,5.00E-01,5.69E-06,-6.32E-06,5.48E+00,2.73E-05,1.79E-02,-3.57E-06,3.46E-03,5.69E-06,-6.32E-06,5.48E+00,2.73E-05
OP1,1,12,1, Ar40,38.55,24.4660165,1.79E-02,0.00E+00,5.91E-08,0.00E+00,3.45E-03,0.00E+00,-3.82E-06,4.50E-06,5.47E+00,2.92E-05,1.79E-02,5.91E-08,3.45E-03,-3.82E-06,4.50E-06,5.47E+00,2.92E-05
OP1,1,13,1, Ar40,38.55,26.4768439,1.79E-02,0.00E+00,4.59E-06,0.00E+00,3.46E-03,0.00E+00,-6.79E-06,2.21E-06,5.47E+00,2.58E-05,1.79E-02,4.59E-06,3.46E-03,-6.79E-06,2.21E-06,5.47E+00,2.58E-05
OP1,1,14,1, Ar40,38.55,28.487485,1.78E-02,0.00E+00,-5.32E-07,0.00E+00,3.44E-03,0.00E+00,2.44E-06,-4.70E-06,5.46E+00,2.34E-05,1.78E-02,-5.32E-07,3.44E-03,2.44E-06,-4.70E-06,5.46E+00,2.34E-05
OP1,1,15,1, Ar40,38.55,30.4984598,1.78E-02,0.00E+00,2.46E-06,0.00E+00,3.46E-03,0.00E+00,-2.76E-06,3.27E-06,5.46E+00,3.01E-05,1.78E-02,2.46E-06,3.46E-03,-2.76E-06,3.27E-06,5.46E+00,3.01E-05
OP1,1,16,1, Ar40,38.55,32.509496,1.78E-02,0.00E+00,-1.53E-06,0.00E+00,3.43E-03,0.00E+00,3.13E-06,-2.87E-06,5.45E+00,2.58E-05,1.78E-02,-1.53E-06,3.43E-03,3.13E-06,-2.87E-06,5.45E+00,2.58E-05
OP1,1,17,1, Ar40,38.55,34.5196074,1.78E-02,0.00E+00,-3.35E-06,0.00E+00,3.43E-03,0.00E+00,-5.67E-06,7.30E-06,5.44E+00,2.28E-05,1.78E-02,-3.35E-06,3.43E-03,-5.67E-06,7.30E-06,5.44E+00,2.28E-05
OP1,1,18,1, Ar40,38.55,36.529939,1.78E-02,0.00E+00,1.80E-06,0.00E+00,3.43E-03,5.00E-01,1.23E-06,2.83E-06,5.44E+00,2.53E-05,1.78E-02,1.80E-06,3.43E-03,1.23E-06,2.83E-06,5.44E+00,2.53E-05
OP1,1,19,1, Ar40,38.55,38.5402862,1.77E-02,0.00E+00,-9.69E-06,0.00E+00,3.42E-03,0.00E+00,-2.68E-06,-7.64E-06,5.43E+00,2.79E-05,1.77E-02,-9.69E-06,3.42E-03,-2.68E-06,-7.64E-06,5.43E+00,2.79E-05
OP1,1,20,1, Ar40,38.55,40.5509351,1.77E-02,0.00E+00,2.91E-06,0.00E+00,3.41E-03,5.00E-01,-2.66E-06,6.74E-07,5.43E+00,2.50E-05,1.77E-02,2.91E-06,3.41E-03,-2.66E-06,6.74E-07,5.43E+00,2.50E-05
OP1,1,21,1, Ar40,38.55,42.5619649,1.77E-02,0.00E+00,-9.12E-07,0.00E+00,3.41E-03,0.00E+00,-1.47E-06,-2.23E-06,5.42E+00,2.79E-05,1.77E-02,-9.12E-07,3.41E-03,-1.47E-06,-2.23E-06,5.42E+00,2.79E-05
OP1,1,22,1, Ar40,38.55,44.5721603,1.77E-02,0.00E+00,-1.69E-06,0.00E+00,3.42E-03,0.00E+00,-1.31E-06,8.24E-06,5.41E+00,2.85E-05,1.77E-02,-1.69E-06,3.42E-03,-1.31E-06,8.24E-06,5.41E+00,2.85E-05
OP1,1,23,1, Ar40,38.55,46.5833147,1.77E-02,0.00E+00,-9.86E-06,0.00E+00,3.41E-03,0.00E+00,5.24E-06,5.65E-06,5.41E+00,2.17E-05,1.77E-02,-9.86E-06,3.41E-03,5.24E-06,5.65E-06,5.41E+00,2.17E-05
OP1,1,24,1, Ar40,38.55,48.5939043,1.76E-02,0.00E+00,1.16E-06,0.00E+00,3.40E-03,0.00E+00,1.89E-06,1.69E-06,5.40E+00,2.86E-05,1.76E-02,1.16E-06,3.40E-03,1.89E-06,1.69E-06,5.40E+00,2.86E-05
OP1,1,25,1, Ar40,38.55,50.6049184,1.76E-02,0.00E+00,-2.15E-06,0.00E+00,3.39E-03,0.00E+00,2.37E-06,2.32E-06,5.40E+00,2.75E-05,1.76E-02,-2.15E-06,3.39E-03,2.37E-06,2.32E-06,5.40E+00,2.75E-05
OP1,1,26,1, Ar40,38.55,52.6151959,1.76E-02,0.00E+00,2.50E-06,5.00E-01,3.40E-03,0.00E+00,-7.87E-06,-1.29E-06,5.39E+00,2.65E-05,1.76E-02,2.50E-06,3.40E-03,-7.87E-06,-1.29E-06,5.39E+00,2.65E-05
OP1,1,27,1, Ar40,38.55,54.6261857,1.76E-02,0.00E+00,-3.75E-06,5.00E-01,3.39E-03,5.00E-01,-4.95E-06,4.04E-07,5.38E+00,2.18E-05,1.76E-02,-3.75E-06,3.39E-03,-4.95E-06,4.04E-07,5.38E+00,2.18E-05
OP1,1,28,1, Ar40,38.55,56.6363961,1.75E-02,0.00E+00,-4.21E-06,0.00E+00,3.39E-03,0.00E+00,-6.03E-06,6.25E-06,5.38E+00,2.42E-05,1.75E-02,-4.21E-06,3.39E-03,-6.03E-06,6.25E-06,5.38E+00,2.42E-05
OP1,1,29,1, Ar40,38.55,58.6488611,1.75E-02,0.00E+00,-1.10E-05,0.00E+00,3.38E-03,0.00E+00,-5.31E-06,-4.12E-06,5.37E+00,2.68E-05,1.75E-02,-1.10E-05,3.38E-03,-5.31E-06,-4.12E-06,5.37E+00,2.68E-05
OP1,1,30,1, Ar40,38.55,60.6593959,1.75E-02,0.00E+00,5.35E-06,0.00E+00,3.37E-03,0.00E+00,-5.62E-06,3.49E-06,5.37E+00,2.63E-05,1.75E-02,5.35E-06,3.37E-03,-5.62E-06,3.49E-06,5.37E+00,2.63E-05
OP1,1,31,1, Ar40,38.55,62.6701684,1.75E-02,0.00E+00,3.64E-06,0.00E+00,3.37E-03,0.00E+00,-3.58E-06,3.56E-06,5.36E+00,2.40E-05,1.75E-02,3.64E-06,3.37E-03,-3.58E-06,3.56E-06,5.36E+00,2.40E-05
OP1,1,32,1, Ar40,38.55,64.6801684,1.75E-02,0.00E+00,2.53E-06,0.00E+00,3.37E-03,0.00E+00,4.93E-07,4.51E-06,5.36E+00,2.86E-05,1.75E-02,2.53E-06,3.37E-03,4.93E-07,4.51E-06,5.36E+00,2.86E-05
OP1,1,33,1, Ar40,38.55,66.690401,1.74E-02,0.00E+00,-5.28E-06,0.00E+00,3.36E-03,1.00E+00,-2.52E-06,9.66E-06,5.35E+00,1.65E-05,1.74E-02,-5.28E-06,3.36E-03,-2.52E-06,9.66E-06,5.35E+00,1.65E-05
OP1,1,34,1, Ar40,38.55,68.7013741,1.74E-02,0.00E+00,-3.92E-07,0.00E+00,3.37E-03,5.00E-01,-3.42E-06,1.96E-06,5.34E+00,2.83E-05,1.74E-02,-3.92E-07,3.37E-03,-3.42E-06,1.96E-06,5.34E+00,2.83E-05
OP1,1,35,1, Ar40,38.55,70.7119171,1.74E-02,0.00E+00,3.46E-06,0.00E+00,3.36E-03,0.00E+00,-4.60E-06,2.23E-06,5.34E+00,2.65E-05,1.74E-02,3.46E-06,3.36E-03,-4.60E-06,2.23E-06,5.34E+00,2.65E-05
OP1,1,36,1, Ar40,38.55,72.7220009,1.74E-02,0.00E+00,-6.83E-06,0.00E+00,3.37E-03,0.00E+00,1.30E-06,2.73E-06,5.33E+00,1.55E-05,1.74E-02,-6.83E-06,3.37E-03,1.30E-06,2.73E-06,5.33E+00,1.55E-05
OP1,1,37,1, Ar40,38.55,74.7330431,1.74E-02,0.00E+00,-4.77E-07,0.00E+00,3.36E-03,0.00E+00,-3.51E-06,1.37E-06,5.33E+00,2.56E-05,1.74E-02,-4.77E-07,3.36E-03,-3.51E-06,1.37E-06,5.33E+00,2.56E-05
OP1,1,38,1, Ar40,38.55,76.7439147,1.74E-02,0.00E+00,-1.13E-05,0.00E+00,3.35E-03,0.00E+00,-3.50E-06,5.25E-06,5.32E+00,2.16E-05,1.74E-02,-1.13E-05,3.35E-03,-3.50E-06,5.25E-06,5.32E+00,2.16E-05
OP1,1,39,1, Ar40,38.55,78.7557213,1.73E-02,0.00E+00,3.62E-06,0.00E+00,3.34E-03,0.00E+00,-6.63E-06,6.30E-07,5.32E+00,3.00E-05,1.73E-02,3.62E-06,3.34E-03,-6.63E-06,6.30E-07,5.32E+00,3.00E-05
OP1,1,40,1, Ar40,38.55,80.7658764,1.73E-02,0.00E+00,2.90E-06,0.00E+00,3.33E-03,5.00E-01,1.76E-06,2.77E-06,5.31E+00,2.07E-05,1.73E-02,2.90E-06,3.33E-03,1.76E-06,2.77E-06,5.31E+00,2.07E-05
OP1,1,41,1, Ar40,38.55,82.7768914,1.73E-02,0.00E+00,4.50E-06,0.00E+00,3.34E-03,0.00E+00,-9.63E-06,-6.70E-07,5.30E+00,2.87E-05,1.73E-02,4.50E-06,3.34E-03,-9.63E-06,-6.70E-07,5.30E+00,2.87E-05
OP1,1,42,1, Ar40,38.55,84.7868914,1.73E-02,0.00E+00,-5.86E-07,0.00E+00,3.33E-03,0.00E+00,1.32E-06,-1.99E-08,5.30E+00,2.38E-05,1.73E-02,-5.86E-07,3.33E-03,1.32E-06,-1.99E-08,5.30E+00,2.38E-05
OP1,1,43,1, Ar40,38.55,86.7983952,1.72E-02,0.00E+00,7.87E-07,0.00E+00,3.34E-03,0.00E+00,-6.00E-06,9.82E-07,5.29E+00,2.20E-05,1.72E-02,7.87E-07,3.34E-03,-6.00E-06,9.82E-07,5.29E+00,2.20E-05
OP1,1,44,1, Ar40,38.55,88.8099153,1.72E-02,0.00E+00,3.69E-06,0.00E+00,3.33E-03,0.00E+00,-2.99E-06,4.82E-06,5.29E+00,2.94E-05,1.72E-02,3.69E-06,3.33E-03,-2.99E-06,4.82E-06,5.29E+00,2.94E-05
OP1,1,45,1, Ar40,38.55,90.8202788,1.72E-02,0.00E+00,5.14E-06,0.00E+00,3.32E-03,0.00E+00,-5.15E-06,-6.75E-08,5.28E+00,3.05E-05,1.72E-02,5.14E-06,3.32E-03,-5.15E-06,-6.75E-08,5.28E+00,3.05E-05
OP1,1,46,1, Ar40,38.55,92.8310168,1.72E-02,0.00E+00,2.71E-06,0.00E+00,3.34E-03,0.00E+00,5.22E-07,-6.00E-07,5.28E+00,2.59E-05,1.72E-02,2.71E-06,3.34E-03,5.22E-07,-6.00E-07,5.28E+00,2.59E-05
OP1,1,47,1, Ar40,38.55,94.8411739,1.72E-02,0.00E+00,-4.20E-06,0.00E+00,3.31E-03,0.00E+00,2.82E-07,-1.09E-06,5.27E+00,1.95E-05,1.72E-02,-4.20E-06,3.31E-03,2.82E-07,-1.09E-06,5.27E+00,1.95E-05
OP1,1,48,1, Ar40,38.55,96.8521293,1.71E-02,0.00E+00,1.96E-06,0.00E+00,3.30E-03,0.00E+00,-8.39E-06,-4.95E-06,5.26E+00,2.10E-05,1.71E-02,1.96E-06,3.30E-03,-8.39E-06,-4.95E-06,5.26E+00,2.10E-05
OP1,1,49,1, Ar40,38.55,98.8622624,1.71E-02,0.00E+00,-6.91E-07,0.00E+00,3.32E-03,5.00E-01,2.50E-07,7.87E-06,5.26E+00,2.35E-05,1.71E-02,-6.91E-07,3.32E-03,2.50E-07,7.87E-06,5.26E+00,2.35E-05
OP1,1,50,1, Ar40,38.55,100.8730456,1.71E-02,0.00E+00,-4.77E-07,0.00E+00,3.30E-03,0.00E+00,-8.84E-07,-2.50E-06,5.25E+00,2.33E-05,1.71E-02,-4.77E-07,3.30E-03,-8.84E-07,-2.50E-06,5.25E+00,2.33E-05
OP1,1,51,1, Ar40,38.55,102.8838316,1.71E-02,0.00E+00,-3.63E-06,0.00E+00,3.30E-03,0.00E+00,4.94E-06,1.03E-05,5.25E+00,2.02E-05,1.71E-02,-3.63E-06,3.30E-03,4.94E-06,1.03E-05,5.25E+00,2.02E-05
OP1,1,52,1, Ar40,38.55,104.8946634,1.71E-02,0.00E+00,-5.96E-06,0.00E+00,3.29E-03,0.00E+00,-1.46E-07,1.51E-06,5.24E+00,2.63E-05,1.71E-02,-5.96E-06,3.29E-03,-1.46E-07,1.51E-06,5.24E+00,2.63E-05
OP1,1,53,1, Ar40,38.55,106.9049621,1.70E-02,0.00E+00,6.13E-09,0.00E+00,3.29E-03,0.00E+00,-2.15E-06,2.64E-06,5.24E+00,2.32E-05,1.70E-02,6.13E-09,3.29E-03,-2.15E-06,2.64E-06,5.24E+00,2.32E-05
OP1,1,54,1, Ar40,38.55,108.9158433,1.71E-02,0.00E+00,6.11E-06,0.00E+00,3.29E-03,0.00E+00,-2.34E-06,3.97E-06,5.23E+00,1.93E-05,1.71E-02,6.11E-06,3.29E-03,-2.34E-06,3.97E-06,5.23E+00,1.93E-05
OP1,1,55,1, Ar40,38.55,110.9258898,1.70E-02,0.00E+00,-3.09E-06,0.00E+00,3.28E-03,0.00E+00,-3.69E-06,3.91E-06,5.23E+00,2.43E-05,1.70E-02,-3.09E-06,3.28E-03,-3.69E-06,3.91E-06,5.23E+00,2.43E-05
OP1,1,56,1, Ar40,38.55,112.9369745,1.70E-02,0.00E+00,-1.08E-06,0.00E+00,3.28E-03,0.00E+00,-2.58E-06,2.84E-06,5.22E+00,2.56E-05,1.70E-02,-1.08E-06,3.28E-03,-2.58E-06,2.84E-06,5.22E+00,2.56E-05
OP1,1,57,1, Ar40,38.55,114.9469745,1.70E-02,0.00E+00,5.27E-06,0.00E+00,3.29E-03,5.00E-01,5.86E-06,6.80E-06,5.21E+00,2.61E-05,1.70E-02,5.27E-06,3.29E-03,5.86E-06,6.80E-06,5.21E+00,2.61E-05
OP1,1,58,1, Ar40,38.55,116.9574674,1.70E-02,0.00E+00,-3.72E-06,0.00E+00,3.28E-03,5.00E-01,-4.69E-06,-1.56E-06,5.21E+00,2.66E-05,1.70E-02,-3.72E-06,3.28E-03,-4.69E-06,-1.56E-06,5.21E+00,2.66E-05
OP1,1,59,1, Ar40,38.55,118.9679254,1.69E-02,0.00E+00,-6.69E-07,0.00E+00,3.27E-03,0.00E+00,-6.35E-06,3.41E-06,5.20E+00,2.73E-05,1.69E-02,-6.69E-07,3.27E-03,-6.35E-06,3.41E-06,5.20E+00,2.73E-05
OP1,1,60,1, Ar40,38.55,120.978962,1.69E-02,0.00E+00,1.25E-07,0.00E+00,3.27E-03,0.00E+00,3.26E-06,-1.46E-06,5.20E+00,2.44E-05,1.69E-02,1.25E-07,3.27E-03,3.26E-06,-1.46E-06,5.20E+00,2.44E-05
OP1,1,61,1, Ar40,38.55,122.9895781,1.69E-02,0.00E+00,8.35E-06,0.00E+00,3.27E-03,0.00E+00,-3.04E-06,2.45E-06,5.19E+00,2.19E-05,1.69E-02,8.35E-06,3.27E-03,-3.04E-06,2.45E-06,5.19E+00,2.19E-05
OP1,1,62,1, Ar40,38.55,125.0002375,1.69E-02,0.00E+00,-5.72E-06,0.00E+00,3.26E-03,0.00E+00,4.03E-06,-2.90E-06,5.19E+00,2.23E-05,1.69E-02,-5.72E-06,3.26E-03,4.03E-06,-2.90E-06,5.19E+00,2.23E-05
OP1,1,63,1, Ar40,38.55,127.0102375,1.68E-02,0.00E+00,3.38E-06,0.00E+00,3.24E-03,0.00E+00,-7.65E-06,-6.83E-06,5.18E+00,1.95E-05,1.68E-02,3.38E-06,3.24E-03,-7.65E-06,-6.83E-06,5.18E+00,1.95E-05
